name,id,url,description,employee_count,profiles_extracted,relevant_profiles,search_status
Igloo,46954,https://www.linkedin.com/search/results/companies/?keywords=Igloo&sid=(~C,"Born from a modest metalworking shop back in 1947, Igloo has been instrumental in redefining how we live, work and play. What began with bringing clean water to the worksite quickly moved into super-functional, best in class ice chests. Igloo products made the family outdoor recreation ... see more",1K-5K employees,0,0,completed
Reston Lloyd,3953990,https://www.linkedin.com/search/results/companies/?keywords=Reston%20Lloyd&sid=vU7,"Reston Lloyd was founded in 1972 by Ms. Rita Bolle, and has remained a women-owned company for over 50 years. The headquarters are located in Sterling, Virginia where the 40,000 square foot warehouse, is the main distribution center for its customers. Reston Lloyd produces high-qu ... see more",11-50 employees,0,0,completed
Melitta,709742,https://www.linkedin.com/search/results/companies/?keywords=Melitta&sid=2ZN,"For over 100 years we have been inventing products that make everyday life for people all over the world more enjoyable, more pleasant and simpler. We not only produced the first coffee filter, but also the first ground coffee in vacuum packaging in Germany, the first filter coffee machine, sandwich pa ... see more",5K-10K employees,0,0,completed
Broan-NuTone,43729,https://www.linkedin.com/search/results/companies/?keywords=Broan-NuTone&sid=Mo6,"As the foremost provider of fresh air solutions in North America, Broan-NuTone® firmly believes that better quality of air means a better quality of life. For almost a century, we have been at the forefront of designing and distributing residential ventilation products that enhance indoor air quality an ... see more",1K-5K employees,3,3,completed
GE,1015,https://www.linkedin.com/search/results/companies/?keywords=GE&sid=v_*,"A new era is here, and we want you to be a part of it. We will now be sharing our content on our respective GE Aerospace and GE Vernova pages. Be sure to follow each to keep up with the future of aviation and energy.",10K+ employees,80,32,completed
Aeropress,15544223,https://www.linkedin.com/search/results/companies/?keywords=Aeropress&sid=.Uf,"AeroPress sells a unique, patented, manual coffee maker that brews a rich, smooth cup of Espresso style and American coffee, in under one minute. Our growth has been fueled by the community of roasters, baristas and coffee lovers within the USA and around the world (over 60 countries) ... see more",11-50 employees,0,0,completed
Tier1,86273,https://www.linkedin.com/search/results/companies/?keywords=Tier1&sid=G86,"TiER1 Performance activates strategy through people. We bridge the gap between strategy development and strategy execution. We consult, design, and build solutions focused on building happier, healthier, more engaged employees that help people do their best work. We meet ... see more",201-500 employees,6,0,completed
AIRCARE,738270,https://www.linkedin.com/search/results/companies/?keywords=AIRCARE&sid=xaa,"Aircare International has supported the strongest in business aviation for over 40 years by providing emergency procedures training, inflight global telemedicine, and crew staffing to the business aviation community. Aircare is a recognized leader in its field, supporting hundreds of customers and ... see more",201-500 employees,1,0,completed
Cuisinart,293581,https://www.linkedin.com/search/results/companies/?keywords=Cuisinart&sid=5!d,"Cuisinart is a full-service culinary resource with a wide array of products including Air Fryers, Bakeware, Cookware, Coffee Makers, Food Processors, Ice Cream Makers and more.",1K-5K employees,0,0,completed
Update International,96340883,https://www.linkedin.com/search/results/companies/?keywords=Update%20International&sid=b2D,"Update International was established in 2017, and since then, we have been a reliable partner in the logistics industry. We specialize in Fashion Logistics and Air Freight, with a dedicated team of 25 professionals committed to providing efficient and effective logistics solutions. Our mission i ... see more",11-50 employees,0,0,completed
Hario,30264508,https://www.linkedin.com/search/results/companies/?keywords=Hario&sid=LiU,"Since 1921 The company has been dedicated to the design, production, and sale of heat resistant glass since it was founded in 1921 and is the only heatproof glass manufacturer in Japan to have a factory. We began our history as a manufacturer of laboratory glassware. In 1964, we expanded our prod ... see more",201-500 employees,0,0,completed
Holmes,343257,https://www.linkedin.com/search/results/companies/?keywords=Holmes&sid=W_v,"As an independent brokerage for 91 years, this has always remained true...“Caring for Your Unique Potential Is Our Soul Purpose.” That statement is the core of how we do business. We ask the tough questions, avoid the easy path, believe fully in caring for the unique challenges of our clients ... see more",501-1K employees,1,1,completed
COSMO,82096727,https://www.linkedin.com/search/results/companies/?keywords=COSMO&sid=ojk,"Today’s brands are too often safe, overanalyzed, and disconnected. They chase trends instead of creating them, leaving audiences indifferent and uninspired. The result? A world filled with bland campaigns, forgettable content, and a growing skepticism about the authenticity of brands. ... see more",11-50 employees,0,0,completed
Whynter,19012957,https://www.linkedin.com/search/results/companies/?keywords=Whynter&sid=vrK,"Here at Whynter, we believe in redefining the way you live.",11-50 employees,0,0,completed
Aprilaire,85193,https://www.linkedin.com/search/results/companies/?keywords=Aprilaire&sid=LJ4,"Headquartered in Madison, Wisconsin with production facilities in both Madison and Poynette, AprilAire has been providing a variety of Indoor Air Quality solutions and technology to our North American customers since 1938. Our core mission is to provide Healthy Air for all! One of the first pro ... see more",501-1K employees,2,1,completed
Nispira,54308942,https://www.linkedin.com/search/results/companies/?keywords=Nispira&sid=(*_,"Inspira is reimagining higher education admissions so that every person can realize their full potential. As the world’s leading network of top admissions consultants in medical, legal, business, and college studies, we’re building software and services in one place—disrupting long-entrenched instit ... see more",11-50 employees,1,1,completed
