name,id,url,description,employee_count,profiles_extracted,relevant_profiles,search_status
Kohler,5670,https://www.linkedin.com/search/results/companies/?keywords=Kohler&sid=oS%3B,"We’re a community of creators. Status quo busters. Difference makers. For the past 150 years, we’ve built our business on a ... see more",10K+ employees,37,11,completed
DEWALT,11462495,https://www.linkedin.com/search/results/companies/?keywords=DEWALT&sid=Fl~,Follow the official DEWALT LinkedIn page to receive updates on our latest technology and industry innovations as we relentlessly pursue total jobsite solutions.,10K+ employees,1,0,completed
Rust-Oleum,25891,https://www.linkedin.com/search/results/companies/?keywords=Rust-Oleum&sid=Xmg,"Solving challenges is the very foundation of who we are. After all, in the beginning, our founder, sea captain Robert Fergusson, didn’t particularly care about paint. He just wanted to keep his ship intact. That’s why, when he noticed that an accidental splash of fish oil had stopped the relentless s ... see more",1K-5K employees,17,5,completed
Sunco Lighting,19244985,https://www.linkedin.com/search/results/companies/?keywords=Sunco%20Lighting&sid=K%3BW,"Sunco is dedicated to illuminating the future by providing innovative lighting and electrical solutions through our streamlined e-commerce platform. We strive to empower both consumers and professionals, including electricians and contractors, with access to a wide range of high-qu ... see more",51-200 employees,0,0,completed
Brightech,18532931,https://www.linkedin.com/search/results/companies/?keywords=Brightech&sid=sSC,Brightech was founded with one premise in mind: to offer designer lighting at prices accessible to everyone. We believe great design shouldn’t be available to a select few and you shouldn’t have to compromise on quality if you want something affordable.,11-50 employees,0,0,completed
SCHLAGE,3571657,https://www.linkedin.com/search/results/companies/?keywords=SCHLAGE&sid=J*-,"Trust your home to Schlage. For more than a century, Schlage has helped protect what matters most – peace of mind. Trusted in over 40 million homes, we strive to enhance everyday life by delivering door hardware and access control solutions focused on reliable experiences, modern simplicity, t ... see more",5K-10K employees,0,0,completed
DELTA FAUCET,16695,https://www.linkedin.com/search/results/companies/?keywords=DELTA%20FAUCET&sid=1nb,"At Delta Faucet Company, passion for water flows through everything we do, whether it’s with our namesake and flagship Delta® brand, or our other company brands that include Newport Brass®, Brizo®, Kraus®, and Peerless®. Combining design and innovation, our extensive product line ... see more",1K-5K employees,1,0,completed
TEKTON,8705580,https://www.linkedin.com/search/results/companies/?keywords=TEKTON&sid=GJ5,"We’re a family-owned company in Grand Rapids, Michigan. Our team is united by a single mission: to make the world's best hand tools accessible to every person. We start by designing products we personally believe in and want to own ourselves. We're independent thinkers, creative colla ... see more",51-200 employees,0,0,completed
SadoTech,3878563,https://www.linkedin.com/search/results/companies/?keywords=SadoTech&sid=yc4,The best electronic stuff on earth (products added daily!) SW LLC (US Seller and Ships from US) is committed to providing each customer with the highest standard of customer service.,11-50 employees,0,0,completed
Neiko,509086,https://www.linkedin.com/search/results/companies/?keywords=Neiko&sid=-bM,"Combining ideas and experiences to create appealing, engaging projects. Neiko is a place where integrated marketing communications strategies are built for companies, institutions and the public sector. A fast-moving environment where consulting turns into design, where creativity and i ... see more",11-50 employees,0,0,completed
GE home electrical,5058812,https://www.linkedin.com/search/results/companies/?keywords=GE%20home%20electrical&sid=UWQ,"Building on a rich heritage in lighting that dates back to the 1930s, USAI Lighting is an industry leader in manufacturing sophisticated lighting fixtures that utilize a variety of sources, including LED, compact fluorescent, metal halide, and low- voltage halogen. USAI Lighting has received numerous p ... see more",51-200 employees,0,0,completed
Moen,9152,https://www.linkedin.com/search/results/companies/?keywords=Moen&sid=Wos,"Creating a brighter future for water by innovating, designing, and engineering products that enhance your experience with water while using less.",1K-5K employees,3,2,completed
Filtrete,34184077,https://www.linkedin.com/search/results/companies/?keywords=Filtrete&sid=ip-,,11-50 employees,0,0,completed
NoCry,6383521,https://www.linkedin.com/search/results/companies/?keywords=NoCry&sid=IzO,"We launched NoCry back in ‘12 with one thing in mind: to make well made, good looking, reasonably priced work & safety gear anyone could buy. And we went for it. Obsessively. Every product was tested. Re-tested. Given the official ‘wolf’ seal of approval. Tested again, just for good measure. Thi ... see more",11-50 employees,0,0,completed
BLACK+DECKER,884316,https://www.linkedin.com/search/results/companies/?keywords=BLACK%20DECKER&sid=cup,"For the builders and protectors, for the makers and explorers, for those shaping and reshaping our world through hard work and inspiration, Stanley Black & Decker provides the tools and innovative solutions you can trust to get the job done—and we have since 1843. You repair your home and car wi ... see more",10K+ employees,33,13,completed
BOSCH,2508619,https://www.linkedin.com/search/results/companies/?keywords=BOSCH&sid=%2C~3,"The Bosch Group is a leading global supplier of technology and services. It employs roughly 417,900 associates worldwide (as of December 31, 2024). According to preliminary figures, the company generated sales of 90.5 billion euros in 2024. Its operations are divided into four business se ... see more",10K+ employees,69,34,completed
