name,id,url,description,employee_count,profiles_extracted,relevant_profiles,search_status
VIZIO,150048,https://www.linkedin.com/search/results/companies/?keywords=VIZIO&sid=He0,"Founded and headquartered in Orange County, California, our mission at VIZIO Holding Corp. (NYSE: VZIO) is to deliver immersive entertainment and compelling lifestyle enhancements that make our products the center of the connected home. We are driving the future of television through ... see more",501-1K employees,16,3,completed
Scosche,3863399,https://www.linkedin.com/search/results/companies/?keywords=Scosche&sid=GfG,"Founded in 1980, Scosche Industries is an award-winning innovator of consumer technology/electronics and car/truck/motorcycle audio installation products and accessories - committed to delivering superior product quality, ongoing innovation, excellent value and unmatched customer service. Scos ... see more",51-200 employees,2,1,completed
ADATA,3810233,https://www.linkedin.com/search/results/companies/?keywords=ADATA&sid=qvR,"About ADATA – Innovating the Future ADATA Technology is the world's second-largest manufacturer of DRAM memory and branded solid state drives, ranked top 25 among Best Taiwan Global Brands. ADATA's main product lines include memory modules, solid state drives, other consumer-gr ... see more",1K-5K employees,3,3,completed
Celestron,971763,https://www.linkedin.com/search/results/companies/?keywords=Celestron&sid=*qz,"Celestron, is a leading designer, manufacturer and importer of high-quality optical products including computerized and non-computerized telescopes and related accessories, binoculars, spotting scopes and microscopes. Since manufacturing its first telescope in 1960, Celestron has grown to be ... see more",51-200 employees,1,1,completed
JanSport,10813801,https://www.linkedin.com/search/results/companies/?keywords=JanSport&sid=92q,"Everyone’s got a story. Ours starts with friends, an innovative patented design, and a shared dream to do something different. It was 1967. The summer of love. Seattle, Washington. Three friends with a passion for getting outdoors and making their own adventure wanted to build a better backp ... see more",201-500 employees,0,0,completed
Bracketron,311549,https://www.linkedin.com/search/results/companies/?keywords=Bracketron&sid=)JP,"Bracketron is the industry leader in universal mounting solutions and accessories for many of today's most popular mobile and handheld technologies including smartphone, GPS, tablet/PC, MP3, and satellite radio. We offer a broad selection of products and accessories designed to offer an ... see more",11-50 employees,0,0,completed
Monster,1844,https://www.linkedin.com/search/results/companies/?keywords=Monster&sid=%3BFc,"Monster is a global leader in connecting people and jobs. Every day, Monster aims to make every workplace happier and more productive by transforming the way employers and candidates find the right fit. For 30 years, Monster has worked to transform the recruiting industry. Today, the co ... see more",1K-5K employees,3,1,completed
Toshiba,157301,https://www.linkedin.com/search/results/companies/?keywords=Toshiba&sid=bul,"About Toshiba Group For over 140 years, Toshiba Group has contributed to a sustainable future by applying innovative technologies to value creation. Today, our business domains center on energy, social infrastructure, electronic devices and digital solutions, all essential supports for modern life ... see more",10K+ employees,8,5,completed
Corsair,17663,https://www.linkedin.com/search/results/companies/?keywords=Corsair&sid=G%2Ct,"Founded in 1994, CORSAIR (NASDAQ:CRSR) is a leading global developer and manufacturer of high-performance gaming and streaming gear. With 21 different product lines CORSAIR offers a complete range of products that help digital athletes perform at their peak and enable strea ... see more",1K-5K employees,5,3,completed
SanDisk,4251,https://www.linkedin.com/search/results/companies/?keywords=SanDisk&sid=ra%2C,"Don't Stop. Sandisk has been expanding the possibilities of data storage for more than 25 years—giving businesses and consumers the peace of mind that comes from knowing their data is readily available and reliable, even in the most challenging environments. Our products are used in the world' ... see more",5K-10K employees,38,17,completed
Cooler Master,141254,https://www.linkedin.com/search/results/companies/?keywords=Cooler%20Master&sid=)Yy,"Cooler Master was initially founded with the mission of providing the industry’s best thermal solutions. Three decades later, having emerged as a world leader in cooling solutions, some would say we’ve mastered what it truly means to be cool. In 30 years, we’ve grown into something much co ... see more",1K-5K employees,1,1,completed
OtterBox,130207,https://www.linkedin.com/search/results/companies/?keywords=OtterBox&sid=eyY,"OtterBox boldly innovates and designs premium protective cases for smartphones and tablets. From its humble beginnings in a Fort Collins, Colo., garage, OtterBox has evolved its product lines to meet the needs of today's mobile consumer to become the No. 1 selling smartphone case in the U.S.3 ... see more",1K-5K employees,0,0,completed
Coby,48617,https://www.linkedin.com/search/results/companies/?keywords=Coby&sid=~hl,"Coby designs, manufactures and distributes a variety of home and portable electronics for consumers seeking a quality entertainment experience. Available in stores or via the web, our products range from MP3 audio, MP4 video and portable DVD players to digital picture frames and high definition ... see more",51-200 employees,0,0,completed
Carson,22327081,https://www.linkedin.com/search/results/companies/?keywords=Carson&sid=Z44,"The information included on this website is for informational purposes and is intended for use by advisors only, not for public distribution. Carson Group Partners is a network of advisors offering advisory services through CWM, LLC, an SEC Registered Investment Advisor.",51-200 employees,0,0,completed
CowboyStudio,63169350,https://www.linkedin.com/search/results/companies/?keywords=CowboyStudio&sid=lV*,,11-50 employees,0,0,completed
Atlantic,1215629,https://www.linkedin.com/search/results/companies/?keywords=Atlantic&sid=7C*,"Atlantic Group, founded in 2006, is an industry leader in executive and professional search & staffing. Headquartered in New York City with offices in Philadelphia, Boston, Chicago, London, Stamford CT, Holmdel NJ and Blue Bell PA, we can penetrate networks and execute searches regionally, n ... see more",51-200 employees,1,1,completed
SilverStone Technology,11079835,https://www.linkedin.com/search/results/companies/?keywords=SilverStone%20Technology&sid=xSa,As a result of the SQW Cluster Report the Silverstone Technology Cluster has been established as a not-for-profit organisation to support the growth of the high-tech cluster and attract investment to the region.,2-10 employees,0,0,completed
Patriot Memory,52720,https://www.linkedin.com/search/results/companies/?keywords=Patriot%20Memory&sid=Fbs,"Patriot designs, manufactures and markets high performance, enthusiast memory modules, flash products, and mobile accessories. Patriot products have become world renown for their extreme performance, reliability and innovation. Patriot sells its products through original equipment ... see more",201-500 employees,0,0,completed
Vantec,239136,https://www.linkedin.com/search/results/companies/?keywords=Vantec&sid=uQX,"Vantec is a custom plastic injection molder and value-added services provider, which specializes in solving our customer’s problems and needs. Vantec became part of the Angstrom Automotive Group in 2020. We offer molding capabilities from 55 ton to large injection presses up to 1,760 ton, wi ... see more",51-200 employees,0,0,completed
Enermax,946300,https://www.linkedin.com/search/results/companies/?keywords=Enermax&sid=Bj2,"Fabricante nacional de produtos para proteção de energia: no-breaks, estabilizadores e filtros de linha. A ENERMAX, uma das mais importantes empresas nacionais fabricantes de produtos para proteção de energia, desenvolve há 17 anos soluções inteligentes para a segurança de equipamentos ele ... see more",201-500 employees,0,0,completed
Sony,1252,https://www.linkedin.com/search/results/companies/?keywords=Sony&sid=pj%3A,"Sony’s purpose is simple. We aim to fill the world with emotion, through the power of creativity and technology. We want to be responsible for getting hearts racing, stirring ambition, and putting a smile on the faces of our customers. That challenge, combined with our spirit of innovation, motivate ... see more",10K+ employees,43,25,completed
Bushnell,35676,https://www.linkedin.com/search/results/companies/?keywords=Bushnell&sid=Wha,"Bushnell Outdoor Products has been the industry leader in sports optics and outdoor accessories for more than 60 years. The company’s family of brands include Bushnell, Butler Creek, Final Approach, Hoppe’s, Millett, Simmons, Stoney Point, Tasco, Uncle Mike's, Uncle Mike’s Law Enforcemen ... see more",201-500 employees,1,1,completed
Boogie Board,106531883,https://www.linkedin.com/search/results/companies/?keywords=Boogie%20Board&sid=)GW,,0-1 employees,0,0,completed
MSI,1771432,https://www.linkedin.com/search/results/companies/?keywords=MSI&sid=6BY,"Safety and security are at the heart of everything we do at Motorola Solutions. We build and connect technologies to help protect people, property and places. Our technologies support public safety agencies and enterprises alike, enabling the collaboration that’s critical for safer communitie ... see more",10K+ employees,80,22,completed
Plantronics,6033,https://www.linkedin.com/search/results/companies/?keywords=Plantronics&sid=1hj,"Plantronics is a global leader in business and consumer audio communications. For more than 50 years, we’ve been driven by a single obsession to support our customers’ most important needs: experiencing and facilitating simple and clear communications while enjoying distraction-free environmen ... see more",5K-10K employees,2,0,completed
SteelSeries,107923,https://www.linkedin.com/search/results/companies/?keywords=SteelSeries&sid=pH0,"SteelSeries is a global leader in the gaming and esports industry, which is made up of billions of gamers around the world who all need and want only the best gaming equipment. We make the most award-winning, cutting-edge products to help gamers play like the pros. Esports pros have ... see more",51-200 employees,6,2,completed
KODAK,1515,https://www.linkedin.com/search/results/companies/?keywords=KODAK&sid=9LY,"We are a leading global manufacturer focused on commercial print and advanced materials & chemicals. With 79,000 worldwide patents earned over 130 years of R&D, we believe in the power of technology and science to enhance what the world sees and creates. ❤️💛🎞️",1K-5K employees,12,4,completed
Savage,389370,https://www.linkedin.com/search/results/companies/?keywords=Savage&sid=Bw.,"Founded in 1946, Savage provides transportation, logistics, materials handling, and other industrial services. Savage is a company founded on principles of integrity, innovation, hard work, and reliability. Nothing is more important than safety at Savage, as we strive to always Do the Right Thing, ... see more",1K-5K employees,1,1,completed
Seagate,2868,https://www.linkedin.com/search/results/companies/?keywords=Seagate&sid=LUy,"At Seagate, we’re storing, protecting, and activating the world’s data as explosive growth in cloud, AI, and machine learning drive the demand for breakthrough technology and mass-capacity storage solutions. It starts with innovation—where we put some of the most sophisticated nanoscale ... see more",10K+ employees,65,20,completed
StarTech,1908429,https://www.linkedin.com/search/results/companies/?keywords=StarTech&sid=mAw,"StarTech Networks Inc. was incorporated in 2008 Since September 2015, the company is a 100% subsidiary of Growval International Limited. For a number of years StarTech has been partnering with leading telecom operators and OEMs offering its expertise in wireless communications. Fro ... see more",201-500 employees,0,0,completed
Pyle,625689,https://www.linkedin.com/search/results/companies/?keywords=Pyle&sid=Ipz,"For over 100 years, A. Duie Pyle has been a family-owned and operated business. With 32 less-than-load service centers, 17 warehouse facilities comprising over 4.2 million square feet of space, and over 55 Dedicated locations, we have the ability to offer flexible and seamless integrate ... see more",1K-5K employees,0,0,completed
